Name,Gender,Age,Height_cm,Weight_kg
Jose,M,56,176.4,44.3
Cassie,F,46,160.9,71.8
David,M,32,174.8,85
Aaron,M,60,183,72.3
Vanessa,F,25,172.1,61
Edward,M,38,176,57.3
Samuel,M,56,161,82.2
Michael,M,36,168.9,77.1
Logan,M,40,184.7,65.7
Deborah,F,28,158.8,86
Christine,F,28,179.5,82.8
Robert,M,41,187.3,96.8
David,M,53,174.6,78.5
Eric,M,57,153.2,67.5
Virginia,F,41,173.3,67.9
William,M,20,169.2,41
Michael,M,39,174.7,72.3
Kelly,F,19,177.4,69.8
Michelle,F,41,162.2,50
Megan,F,61,161.6,69.6
Jake,M,47,168.5,90.1
Shawn,M,55,160.3,59
Brian,M,19,171.5,55.6
Rachael,F,38,168.9,86.6
Joyce,F,50,196.3,79.5
Victoria,F,29,159.7,115.9
David,M,39,162.2,50.2
Tara,F,61,174.2,80.8
Kaitlyn,F,42,178.7,74.7
Cody,M,44,192.9,70.9
Jonathan,M,59,186.2,83.7
Anna,F,45,178.2,69.6
Francisco,M,33,172.9,41
Nicole,F,32,179,57.3
Trevor,M,64,163.9,90.5
Carrie,F,61,166.8,87.6
Christopher,M,20,155.2,64.4
Jamie,F,54,167.7,77.6
Brian,M,24,179.6,111.8
Kristen,F,38,167.9,69.5
Heather,F,26,162.3,69.8
James,M,56,166.4,72.9
Johnny,M,35,177.2,79.1
Christina,F,21,167.4,64.8
Kathryn,F,42,178.5,79.1
Joshua,M,31,156.9,40.8
John,M,26,161.3,75
Kyle,M,43,164.9,70.8
Janice,F,19,156.9,66.7
Jose,M,37,199.4,62.9
Matthew,M,45,159,60.9
Jason,M,64,179.1,57.8
Kayla,F,24,163.3,35.2
Hector,M,61,164.9,66
Sarah,F,25,173,86.4
Zachary,M,64,155.4,65
Chelsea,F,52,163.4,79.5
Jaime,F,31,168.5,53.8
John,M,34,161.5,50.4
Linda,F,53,161.8,58.7
Shannon,F,57,180.9,54.6
Katherine,F,21,180,52.3
Julie,F,19,165.6,76.7
Stacy,F,23,169.2,96.7
Bianca,F,59,182.4,60
Eric,M,21,155.7,44.6
Jessica,F,46,173.4,79.9
Andrew,M,35,189.7,48.5
James,M,43,189.7,52.3
Cheryl,F,61,150.6,77.4
Caitlin,F,51,162.4,67.5
Alan,M,27,171.7,59.7
Chelsea,F,53,156.8,71
Vanessa,F,31,163.3,63.9
Melanie,F,48,168.6,98.3
David,M,32,184,59.9
Crystal,F,25,169.5,56.3
Nicole,F,31,172.2,63.2
Susan,F,40,175.1,63.8
Sue,F,57,175.4,78.9
Sharon,F,38,170.3,40.1
Kayla,F,33,158,76.4
Margaret,F,62,177.9,61.9
Edward,M,35,174.3,81.7
Michael,M,64,159,69.3
Walter,M,41,163.2,77.8
Carla,F,43,178.9,64.1
Patricia,F,42,176.1,76.6
Timothy,M,62,162.8,95
Samantha,F,58,167.3,58.9
Angelica,F,46,168.6,68.4
Daniel,M,32,176.2,62.7
Andrew,M,62,182.5,93.9
Michael,M,18,170.7,63.5
Adam,M,42,181.7,59
Chris,M,24,178.7,61.3
Michelle,M,26,172.1,68
Donna,F,41,155.6,58.1
Kimberly,F,18,159.7,64.5
George,M,61,177.4,72.4
